,Unnamed: 0,Dataset_ID,Organ_major,Organ_specific,Platform,Count_filtered,Mito_filtered,Gene_filtered,Pct_filtered,Total_cells,Total_cells_passed,Source,pubmed_id,pubmed_link,doi,accession
18,18,337313,liver,{'caudate_lobe'},10X_v2,1.66708271,0,0,1.66708271,332497,326954,"MacParland, S. A. et al. Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations. Nat. Commun. 9, 4383 (2018).",30348985,https://pubmed.ncbi.nlm.nih.gov/30348985/,10.1038/s41467-018-06318-7,
19,19,394700,lung,{'lower_lobe_of_left_lung_||_lower_lobe_of_right_lung_||_lung_parenchyma'},10X_v2,2.19304146,0,0.00091721,2.19395866,327080,319904,"Madissoon, E. et al. scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation. Genome Biol. 21, 1 (2019).",31892341,https://pubmed.ncbi.nlm.nih.gov/31892341/,10.1186/s13059-019-1906-x,
20,20,823266,lung,{''},droplet,1.68920646,1.42492842,0,3.0614071,312928,303348,"Adams, T. S. et al. Single-cell RNA-seq reveals ectopic and aberrant lung-resident cell populations in idiopathic pulmonary fibrosis. Sci Adv 6, eaba1983 (2020).",32832599,https://pubmed.ncbi.nlm.nih.gov/32832599/,10.1126/sciadv.aba1983,
21,21,381597,lung,{'lung'},sci-RNA-seq3,1.59876657,0.00201103,0,1.60010725,298355,293581,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
22,22,414901,liver,{'liver'},10X_3'_v2,1.72976186,0.21161028,0.00286444,1.94423657,279287,273857,"Ramachandran, P. et al. Resolving the fibrotic niche of human liver cirrhosis at single-cell level. Nature 575, 512–518 (2019).",31597160,https://pubmed.ncbi.nlm.nih.gov/31597160/,10.1038/s41586-019-1631-3,
23,23,707549,kidney,{'kidney'},10X_3'_v2,1.80416505,1.59352468,0.00178207,3.3994718,280573,271035,"Popescu, D.-M. et al. Decoding human fetal liver haematopoiesis. Nature 574, 365–371 (2019).",31597962,https://pubmed.ncbi.nlm.nih.gov/31597962/,10.1038/s41586-019-1652-y,
24,24,611063,thymus,{'thymus'},10x,2.232952,2.70698651,0,4.93223361,272554,259111,"Park, J.-E. et al. A cell atlas of human thymic development defines T cell repertoire formation. Science 367, (2020).",32079746,https://pubmed.ncbi.nlm.nih.gov/32079746/,10.1126/science.aay3224,
25,25,448703,spleen,{'spleen'},10X_v2,1.64551788,0,0.00275554,1.64827342,217743,214154,"Madissoon, E. et al. scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation. Genome Biol. 21, 1 (2019).",31892341,https://pubmed.ncbi.nlm.nih.gov/31892341/,10.1186/s13059-019-1906-x,
26,26,571797,large_intestine,{'caecum_||_sigmoid_colon_||_transverse_colon'},10X_3'_v2,3.07253076,0.02129925,0.0018127,3.09518954,220665,213835,"James, K. R. et al. Distinct microbial and immune niches of the human colon. Nat. Immunol. 21, 343–353 (2020).",32066951,https://pubmed.ncbi.nlm.nih.gov/32066951/,10.1038/s41590-020-0602-z,
27,27,632359,brain,{'brain'},10X_3'_v2,1.5314266,0.10257443,0,1.63400103,208629,205220,"Jäkel, S. et al. Altered human oligodendrocyte heterogeneity in multiple sclerosis. Nature 566, 543–547 (2019).",30747918,https://pubmed.ncbi.nlm.nih.gov/30747918/,10.1038/s41586-019-0903-2,
28,28,252655,immune,{'tumor_immune'},droplet,2.01526823,2.96904052,0,4.9818493,203298,193170,"Kim, N. et al. Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma. Nat. Commun. 11, 2285 (2020).",32385277,https://pubmed.ncbi.nlm.nih.gov/32385277/,10.1038/s41467-020-16164-1,
29,29,228431,kidney,{'kidney'},sci-RNA-seq3,1.29785054,0.00447921,0,1.30176985,178603,176278,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
30,30,692819,immune,{'peripheral blood mononuclear cell'},droplet,1.80498753,0.04702969,0,1.85201722,167979,164868,"Lee, J. S. et al. Immunophenotyping of COVID-19 and influenza highlights the role of type I interferons in development of severe COVID-19. Sci Immunol 5, (2020).",32651212,https://pubmed.ncbi.nlm.nih.gov/32651212/,10.1126/sciimmunol.abd1554,
31,31,265352,various,"{'lung_bud', 'unlabeled', 'epithelium_of_trachea', 'respiratory_airway'}",droplet,1.99893423,0.9207738,0,2.91970803,161386,156674,"Miller, A. J. et al. In Vitro and In Vivo Development of the Human Airway at Single-Cell Resolution. Dev. Cell 54, 818 (2020).",,,,
32,32,651459,immune,{'hematopoietic_stem_cells'},droplet,1.26504639,0.00020721,66.8485322,68.1135786,482591,153881,"Bunis, D. G. et al. Single-Cell Mapping of Progressive Fetal-to-Adult Transition in Human Naive T Cells. Cell Rep. 34, 108573 (2021).",33406429,https://pubmed.ncbi.nlm.nih.gov/33406429/,10.1016/j.celrep.2020.108573,
33,33,312335,heart,{'heart'},sci-RNA-seq3,1.74555286,0.00718335,0,1.75143014,153132,150450,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
34,34,859507,testis,{'testis'},droplet,1.87766658,0.87952131,0.00065538,2.75653251,152583,148377,"Guo, J. et al. The Dynamic Transcriptional Cell Atlas of Testis Development during Human Puberty. Cell Stem Cell 26, 262–276.e4 (2020).",31928944,https://pubmed.ncbi.nlm.nih.gov/31928944/,10.1016/j.stem.2019.12.005,GSE134144
35,35,457151,liver,{'liver'},sci-RNA-seq3,1.66352793,0.00601034,0,1.66820264,149742,147244,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
36,36,539730,kidney,{'kidney'},10X_3'_v2,2.29673507,0.3490586,0,2.6450885,141810,138059,"Liao, J. et al. Single-cell RNA sequencing of human kidney. Sci Data 7, 4 (2020).",31896769,https://pubmed.ncbi.nlm.nih.gov/31896769/,10.1038/s41597-019-0351-8,GSE131685
37,37,459379,various,"{'bone_marrow', 'blood', 'lung', 'unlabeled', 'lymph_node'}",droplet,1.57845133,0.19209048,0,1.76982237,138997,136537,"Ledergor, G. et al. Single cell dissection of plasma cell heterogeneity in symptomatic and asymptomatic myeloma. Nat. Med. 24, 1867–1876 (2018).",30523328,https://pubmed.ncbi.nlm.nih.gov/30523328/,10.1038/s41591-018-0269-2,GSE117156
38,38,739085,various,"{'unlabeled', 'decidua', 'blood', 'placenta'}",droplet,2.20507583,0.40848746,0,2.6135633,132195,128740,"Vento-Tormo, R. et al. Single-cell reconstruction of the early maternal-fetal interface in humans. Nature 563, 347–353 (2018).",30429548,https://pubmed.ncbi.nlm.nih.gov/30429548/,10.1038/s41586-018-0698-6,
39,39,753228,immune,{'tumor_immune'},droplet,2.02415832,0.16141247,0,2.18251084,130721,127868,"Ruffin, A. T. et al. B cell signatures and tertiary lymphoid structures contribute to outcome in head and neck squamous cell carcinoma. Nat. Commun. 12, 3349 (2021).",34099645,https://pubmed.ncbi.nlm.nih.gov/34099645/,10.1038/s41467-021-23355-x,
40,40,626869,immune,{'blood'},droplet,1.85884747,2.46926238,0,4.32810984,126799,121311,"Wilk, A. J. et al. A single-cell atlas of the peripheral immune response to severe COVID-19. doi:10.1101/2020.04.17.20069930.",,,,
41,41,502847,small_intestine,{'ileal mucosa'},droplet,2.53574665,0.71292814,0,3.24787284,124697,120647,"Martin, J. C. et al. Single-Cell Analysis of Crohn’s Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to Anti-TNF Therapy. Cell 178, 1493–1508.e20 (2019).",,,,
42,42,423932,immune,{'blood'},droplet,1.23841797,0.09658514,0,1.33336607,122172,120543,"Zheng, Y. et al. A human circulating immune cell landscape in aging and COVID-19. Protein Cell 11, 740–770 (2020).",32780218,https://pubmed.ncbi.nlm.nih.gov/32780218/,10.1007/s13238-020-00762-2,
43,43,988318,lung,{'lung'},droplet,1.7030187,0.82769405,0,2.53071275,111273,108457,"Goveia, J. et al. An Integrated Gene Expression Landscape Profiling Approach to Identify Lung Tumor Endothelial Cell Heterogeneity and Angiogenic Candidates. Cancer Cell 37, 421 (2020).",32183954,https://pubmed.ncbi.nlm.nih.gov/32183954/,10.1016/j.ccell.2020.03.002,
44,44,891610,large_intestine,{'colon'},droplet,1.01811802,0.00302471,34.7999153,35.8180333,165305,106096,"Smillie, C. S. et al. Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis. Cell 178, 714–730.e22 (2019).",31348891,https://pubmed.ncbi.nlm.nih.gov/31348891/,10.1016/j.cell.2019.06.029,
45,45,158093,lymph_node,{'mediastinal_lymph_node'},10X_v2,1.2209118,0.06558165,0.00546514,1.2919586,91489,90307,"Ledergor, G. et al. Single cell dissection of plasma cell heterogeneity in symptomatic and asymptomatic myeloma. Nat. Med. 24, 1867–1876 (2018).",30523328,https://pubmed.ncbi.nlm.nih.gov/30523328/,10.1038/s41591-018-0269-2,GSE117156
46,46,114161,heart,{'atrial_fibroblasts'},droplet,2.86809733,0.00080548,78.9519151,81.8200124,496601,90282,"Moreira, L. M. et al. Paracrine signalling by cardiac calcitonin controls atrial fibrogenesis and arrhythmia. Nature 587, 460–465 (2020).",33149301,https://pubmed.ncbi.nlm.nih.gov/33149301/,10.1038/s41586-020-2890-8,
47,47,153187,bone_marrow,{'bone_marrow'},10X_v2,1.59955513,0.07196363,0.00545179,1.67697055,91713,90175,"Ledergor, G. et al. Single cell dissection of plasma cell heterogeneity in symptomatic and asymptomatic myeloma. Nat. Med. 24, 1867–1876 (2018).",30523328,https://pubmed.ncbi.nlm.nih.gov/30523328/,10.1038/s41591-018-0269-2,GSE117156
48,48,845214,lung,{'Left_lateral_basal_bronchopulmonary_segment'},10X_v2,1.43983697,0.15284423,0.00110757,1.59157363,90288,88851,"Ledergor, G. et al. Single cell dissection of plasma cell heterogeneity in symptomatic and asymptomatic myeloma. Nat. Med. 24, 1867–1876 (2018).",30523328,https://pubmed.ncbi.nlm.nih.gov/30523328/,10.1038/s41591-018-0269-2,GSE117156
49,49,755248,lymph_node,{'mesenteric_lymph_node'},10X_3'_v2,2.00599778,0.02021722,0,2.026215,89033,87229,"James, K. R. et al. Distinct microbial and immune niches of the human colon. Nat. Immunol. 21, 343–353 (2020).",32066951,https://pubmed.ncbi.nlm.nih.gov/32066951/,10.1038/s41590-020-0602-z,
50,50,915696,immune,{'blood'},10X_v2,2.15440467,0.03063135,0.00113449,2.18617051,88145,86218,"Vento-Tormo, R. et al. Single-cell reconstruction of the early maternal-fetal interface in humans. Nature 563, 347–353 (2018).",30429548,https://pubmed.ncbi.nlm.nih.gov/30429548/,10.1038/s41586-018-0698-6,
51,51,643064,placenta,{'placenta'},10X_v2,2.23223382,0.23431663,0.00113196,2.46768242,88342,86162,"Vento-Tormo, R. et al. Single-cell reconstruction of the early maternal-fetal interface in humans. Nature 563, 347–353 (2018).",30429548,https://pubmed.ncbi.nlm.nih.gov/30429548/,10.1038/s41586-018-0698-6,
52,52,766226,liver,{'Liver'},10x,1.99344778,0.19911325,0.00463054,2.19719158,86383,84485,"MacParland, S. A. et al. Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations. Nat. Commun. 9, 4383 (2018).",30348985,https://pubmed.ncbi.nlm.nih.gov/30348985/,10.1038/s41467-018-06318-7,
53,53,304786,brain,{'Substantia_nigra'},10x,1.34056671,0.06052726,4.3758967,5.7758698,89216,84063,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
54,54,509666,eye,{'retina'},droplet,2.15717386,0,0,2.15717386,85714,83865,"Cowan, C. S. et al. Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution. Cell 182, 1623–1640.e34 (2020).",32946783,https://pubmed.ncbi.nlm.nih.gov/32946783/,10.1016/j.cell.2020.08.013,
55,55,431617,immune,{'pbmc_covid_flu'},10x_3'_v3,1.51273137,0,0,1.51273137,85144,83856,"Lee, J. S. et al. Immunophenotyping of COVID-19 and influenza highlights the role of type I interferons in development of severe COVID-19. Sci Immunol 5, (2020).",32651212,https://pubmed.ncbi.nlm.nih.gov/32651212/,10.1126/sciimmunol.abd1554,
56,56,911153,large_intestine,{'colon'},droplet,0.62614042,0.00151425,36.1457915,36.7734462,132079,83509,"Smillie, C. S. et al. Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis. Cell 178, 714–730.e22 (2019).",31348891,https://pubmed.ncbi.nlm.nih.gov/31348891/,10.1016/j.cell.2019.06.029,
57,57,507288,large_intestine,{'colon'},droplet,1.09736091,0.00193766,45.5885962,46.686603,154826,82543,"Smillie, C. S. et al. Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis. Cell 178, 714–730.e22 (2019).",31348891,https://pubmed.ncbi.nlm.nih.gov/31348891/,10.1016/j.cell.2019.06.029,
58,58,772537,large_intestine,{'colon'},droplet,0.84840841,0.00146657,39.213774,40.063649,136373,81737,"Smillie, C. S. et al. Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis. Cell 178, 714–730.e22 (2019).",31348891,https://pubmed.ncbi.nlm.nih.gov/31348891/,10.1016/j.cell.2019.06.029,
59,59,253136,liver,{'Liver'},10x,1.35855795,0.19425207,0.17253445,1.72534447,82882,81452,"MacParland, S. A. et al. Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations. Nat. Commun. 9, 4383 (2018).",30348985,https://pubmed.ncbi.nlm.nih.gov/30348985/,10.1038/s41467-018-06318-7,
60,60,216062,large_intestine,{'colon'},droplet,0.90253805,0.0013511,45.0478629,45.951752,148027,80006,"Smillie, C. S. et al. Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis. Cell 178, 714–730.e22 (2019).",31348891,https://pubmed.ncbi.nlm.nih.gov/31348891/,10.1016/j.cell.2019.06.029,
61,61,249597,large_intestine,{'colon'},droplet,1.12444519,0.00058171,53.4562292,54.5812561,171907,78078,"Smillie, C. S. et al. Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis. Cell 178, 714–730.e22 (2019).",31348891,https://pubmed.ncbi.nlm.nih.gov/31348891/,10.1016/j.cell.2019.06.029,
62,62,776602,liver,{'liver'},droplet,1.63650017,0.63569745,0,2.27219762,77238,75483,"MacParland, S. A. et al. Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations. Nat. Commun. 9, 4383 (2018).",30348985,https://pubmed.ncbi.nlm.nih.gov/30348985/,10.1038/s41467-018-06318-7,
63,63,364042,liver,{'Liver'},10x,2.15529658,0.1689145,0.01178473,2.33599581,76370,74586,"MacParland, S. A. et al. Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations. Nat. Commun. 9, 4383 (2018).",30348985,https://pubmed.ncbi.nlm.nih.gov/30348985/,10.1038/s41467-018-06318-7,
64,64,186232,brain,{'Substantia_nigra'},10x,1.3643136,0.06895448,7.31656262,8.74983069,81213,74107,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
65,65,871035,testis,{'Testicle'},10x,1.08085253,1.22752078,0.00132134,2.30308796,75681,73938,"Guo, J. et al. The adult human testis transcriptional cell atlas. Cell Res. 28, 1141–1157 (2018).",30315278,https://pubmed.ncbi.nlm.nih.gov/30315278/,10.1038/s41422-018-0099-2,
66,66,883158,brain,{'Substantia_nigra'},10x,2.18294452,0.117997,6.88438752,9.18532904,81358,73885,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
67,67,595584,brain,{'Substantia_nigra'},10x,1.66427991,0.07095767,2.96087007,4.69481751,77511,73872,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
68,68,552432,testis,{'Testis'},10x,2.09469557,4.0999834,0,6.19467896,78293,73443,"Hermann, B. P. et al. The Mammalian Spermatogenesis Single-Cell Transcriptome, from Spermatogonial Stem Cells to Spermatids. Cell Rep. 25, 1650–1667.e8 (2018).",30404016,https://pubmed.ncbi.nlm.nih.gov/30404016/,10.1016/j.celrep.2018.10.026,
69,69,755170,large_intestine,{'colon'},droplet,0.42000652,0.00146005,63.9052333,64.3262132,205473,73300,"Smillie, C. S. et al. Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis. Cell 178, 714–730.e22 (2019).",31348891,https://pubmed.ncbi.nlm.nih.gov/31348891/,10.1016/j.cell.2019.06.029,
70,70,837613,large_intestine,{'colon'},droplet,0.31824489,0.00138067,49.2099105,49.529536,144857,73110,"Smillie, C. S. et al. Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis. Cell 178, 714–730.e22 (2019).",31348891,https://pubmed.ncbi.nlm.nih.gov/31348891/,10.1016/j.cell.2019.06.029,
71,71,341115,testis,{'Testicle'},10x,1.33941674,1.43547053,0.00133408,2.77622135,74958,72877,"Guo, J. et al. The adult human testis transcriptional cell atlas. Cell Res. 28, 1141–1157 (2018).",30315278,https://pubmed.ncbi.nlm.nih.gov/30315278/,10.1038/s41422-018-0099-2,
72,72,581044,brain,{'Substantia_nigra'},10x,1.74906467,0.09353287,2.07375735,3.91635489,74840,71909,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
73,73,333261,eye,{'eye'},sci-RNA-seq3,1.7317036,0,0,1.7317036,72241,70990,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
74,74,966728,testis,{'Testis'},10x,1.75778547,0.29896194,0,2.05536332,72250,70765,"Hermann, B. P. et al. The Mammalian Spermatogenesis Single-Cell Transcriptome, from Spermatogonial Stem Cells to Spermatids. Cell Rep. 25, 1650–1667.e8 (2018).",30404016,https://pubmed.ncbi.nlm.nih.gov/30404016/,10.1016/j.celrep.2018.10.026,
75,75,900167,large_intestine,{'colon'},droplet,0.29451466,0.00098172,65.3626212,65.6576267,203725,69964,"Smillie, C. S. et al. Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis. Cell 178, 714–730.e22 (2019).",31348891,https://pubmed.ncbi.nlm.nih.gov/31348891/,10.1016/j.cell.2019.06.029,
76,76,271481,brain,{'Substantia_nigra'},10x,1.85293057,0.109567,1.11370004,3.07619761,72102,69884,"Franzén, O., Gan, L.-M. & Björkegren, J. L. M. PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data. Database 2019, (2019).",,,,
77,77,521481,testis,{'Testicle'},10x,1.10754551,1.30633573,0.00567972,2.41956096,70426,68722,"Guo, J. et al. The adult human testis transcriptional cell atlas. Cell Res. 28, 1141–1157 (2018).",30315278,https://pubmed.ncbi.nlm.nih.gov/30315278/,10.1038/s41422-018-0099-2,
78,78,184865,kidney,{'kidney_organoid'},droplet,2.27062614,1.77475837,0,4.04118224,71390,68505,"Wu, H. et al. Comparative Analysis and Refinement of Human PSC-Derived Kidney Organoid Differentiation with Single-Cell Transcriptomics. Cell Stem Cell 23, 869–881.e8 (2018).",30449713,https://pubmed.ncbi.nlm.nih.gov/30449713/,10.1016/j.stem.2018.10.010,
79,79,564333,bone_marrow,{'bone_marrow'},10X_v2,1.44720125,0.00876207,0.00146034,1.45742366,68477,67479,"Setty, M. et al. Characterization of cell fate probabilities in single-cell data with Palantir. Nat. Biotechnol. 37, 451–460 (2019).",31534198,https://pubmed.ncbi.nlm.nih.gov/31534198/,10.1038/s41587-019-0282-0,
80,80,214963,immune,{'tumor_immune'},droplet,1.72693573,0.20097959,0,1.92493785,67171,65878,"Lu, Y.-C. et al. Single-Cell Transcriptome Analysis Reveals Gene Signatures Associated with T-cell Persistence Following Adoptive Cell Therapy. Cancer Immunol Res 7, 1824–1836 (2019).",31484655,https://pubmed.ncbi.nlm.nih.gov/31484655/,10.1158/2326-6066.CIR-19-0299,GSE136394
81,81,593729,testis,{'Testis'},10x,1.42496921,3.88494693,0,5.30991614,68212,64590,"Hermann, B. P. et al. The Mammalian Spermatogenesis Single-Cell Transcriptome, from Spermatogonial Stem Cells to Spermatids. Cell Rep. 25, 1650–1667.e8 (2018).",30404016,https://pubmed.ncbi.nlm.nih.gov/30404016/,10.1016/j.celrep.2018.10.026,
82,82,379024,liver,{'Liver'},10x,1.29147595,0.49008276,0.01387027,1.79388784,64887,63723,"MacParland, S. A. et al. Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations. Nat. Commun. 9, 4383 (2018).",30348985,https://pubmed.ncbi.nlm.nih.gov/30348985/,10.1038/s41467-018-06318-7,
83,83,839779,testis,{'Testis'},10x,1.31756501,2.31369873,0,3.63126374,65955,63560,"Hermann, B. P. et al. The Mammalian Spermatogenesis Single-Cell Transcriptome, from Spermatogonial Stem Cells to Spermatids. Cell Rep. 25, 1650–1667.e8 (2018).",30404016,https://pubmed.ncbi.nlm.nih.gov/30404016/,10.1016/j.celrep.2018.10.026,
